Merged ERD Fields,Field Lightboxdata aligned,Field CoStar Data,Field CoStar aligned
daily_rate_per_unit,Unit Lease_dailyrateperunit,Recorded Owner Name,
daily_rate_per_unit_max,Unit Lease_dailyrateperunitmax,Recorded Owner Phone,
daily_rate_per_unit_min,Unit Lease_dailyrateperunitmin,Rent Type,
data_source,Sales_datasource,Rent/SF/Yr,
days_on_market,Sales_daysonmarket,Sale Company Address,
deferred_maintenance,Improvement_deferredmaintance,Sale Company City State Zip,
demographics_survey_date,Sites_demographicssurveydate,Sale Company Contact,
depth,Sites_depth,Sale Company Fax,
design_appeal,Improvement_designappeal,Sale Company Name,
dimensions,Sites_dimensions,Sale Company Phone,
diminution_source,Sales_diminutionsource,Sales Company,
discount_rate,Sales_discountrate,Sales Contact,
district_name,,Sales Contact Phone,
district_url,Parcel_districturl,Secondary Type,
districtspending,Parcel_districtspending,Services,
drainage,Sites_drainage,Sewer,
duration_seconds,,Smallest Available Space,
earthquake_hazard_risk,Sites_earthquakehazardrisk,Sprinklers,
earthquake_zone_comments,Sites_earthquakezonecomments,Star Rating,
east_boundary,Parcel_eastboundary,State,
eff_rent_per_mo,Rent Roll_effrentpermo,Style,
eff_rent_per_year,Rent Roll_effrentperyear,Subcontinent,
effective_age,Improvement_effectiveage,Sublet Available Space,
effective_gross_income_multiplier,,Sublet Services,
effective_rent_sf,,Sublet Vacant Space,
effective_rent_sf_mo,Rent Roll_effectiverentsfmo,Submarket Cluster,
effective_water_frontage,Sites_effectivewaterfrontage,Submarket Name,
egim,Sales_egim,Tax Year,
encumbrance_or_easement,Sites_encumbranceoreasement,Taxes Per SF,
enrollment,Parcel_enrollment,Taxes Total,
entry_fee_max,Unit Lease_entryfeemax,Tenancy,
entry_fee_min,Unit Lease_entryfeemin,Total Available Space (SF),
environmental_concerns,Sales_environmentalconcerns,Total Buildings,
environmental_issues,Sites_environmentalissues,Total New Space (SF),
environmental_remarks,Sales_environmentalremarks,Total Relet Space (SF),
environmental_status,Sales_environmentalstatus,Total Sublet Space (SF),
equalization_ratio,Assessment_equalizationratio,Total Vacant Avail Relet Space (SF),
escalations,Rent Roll_escalations,Total Vacant Avail Sublet Space (SF),
excess_land_adjustment,Sales_excesslandadjustment,Total Vacant Available,
expenditures_after_sale_adjustment,Sales_expendituresaftersaleadjustment,True Owner Address,
expense_growth_rate,Sales_expensegrowthrate,True Owner City State Zip,
expense_reimbursements,Rent Roll_expensereimbursements,True Owner Contact,
expense_stop,Rent Roll_expensestop,True Owner Name,
exterior_wall,Improvement_exteriorwall,True Owner Phone,
exterior_wall_id,,Typical Floor Size,
far,Parcel_far,University,
features,Improvement_features,Vacancy %,
fema_map_date,Sites_femamapdate,Water,
ff_and_e,Improvement_ffande,Year Built,
ff_and_e_adjustment,Sales_ffandeadjustment,Year Renovated,
field_changed,,Zip,
field_name,,Zoning,
field_value,,,
financing,Sales_financing,,
financing_terms_adjustment,Sales_financingtermsadjustment,,
financing_type,incExp_financialstype,,
finish,Rent Roll_finish,,
finish_condition,Sales_finishcondition,,
fireplace_or_woodstove,Improvement_fireplaceorwoodstove,,
flood_map_panel,Sites_floodmappanel,,
flood_zone,Sites_floodzone,,
floor,Unit Lease_floor,,
floor_area_ratio,,,
floor_level,Rent Roll_floorlevel,,
foundation_id,Improvement_foundation,,
foundation_type,,,
free_rent_months,Rent Roll_freerentmonths,,
front_set_back_distance,,,
garage_parking_spaces,Improvement_garageparkingspaces,,
garage_type,,,
gba,,,
gba_total,,,
gba_total_meters,,,
geo_code,,,
geo_name,,,
geo_type,,,
geography_id,,,
grantee,Sales_grantee,,
grantee_buyer,,,
grantor,Sales_grantor,,
grantor_seller,,,
gross_building_area,,,
heating_id,Improvement_heating,,
heating_type,,,
highest_and_best_use,Sales_highestandbestuse,,
holding_period_years,Sales_holdingperiodyears,,
home_site_acres,Sites_homesiteacres,,
hotel_flag,Improvement_hotelflag,,
hotel_room_rev_multiplier,Sales_hotelroomrevmultiplier,,
id,Sales_id,,
implied_value,Assessment_impliedvalue,,
improvement_assessment,Assessment_assessmentyear,,
improvement_comments,Rent Roll_comments,,
improvement_id,Rent Roll Summary_ID,,
improvement_subrecords_condition,,,
improvement_subrecords_construction,,,
improvement_subrecords_cooling,,,
improvement_subrecords_deferredmaintance,,,
improvement_subrecords_docks,Improvement_docks,,
improvement_subrecords_foundation,,,
improvement_subrecords_garage,Improvement_garage,,
improvement_subrecords_heating,,,
improvement_subrecords_landscaping,Improvement_landscaping,,
improvement_subrecords_landtobuildingratio,Improvement_landtobuildingratio,,
improvement_subrecords_loadfactor,Improvement_loadfactor,,
improvement_subrecords_multifamilyamenities,Improvement_multifamilyamenities,,
improvement_subrecords_noofbathrooms,Improvement_noofbathrooms,,
improvement_subrecords_noofbays,Improvement_noofbays,,
improvement_subrecords_noofbedrooms,Improvement_noofbedrooms,,
improvement_subrecords_noofbeds,Improvement_noofbeds,,
improvement_subrecords_noofelevators,Improvement_noofelevators,,
improvement_subrecords_noofescalators,Improvement_noofescalators,,
improvement_subrecords_noofgolfholes,Improvement_noofgolfholes,,
improvement_subrecords_noofhalfbaths,Improvement_noofhalfbaths,,
improvement_subrecords_noofrooms,Improvement_noofrooms,,
improvement_subrecords_noofseats,Improvement_noofseats,,
improvement_subrecords_noofspaces,Improvement_noofspaces,,
improvement_subrecords_noofstories,Improvement_noofstories,,
improvement_subrecords_nooftruckdoors,Improvement_nooftruckdoors,,
improvement_subrecords_nooftruckdoorswithlevelers,Improvement_nooftruckdoorswithlevelers,,
improvement_subrecords_noofunits,Improvement_noofunits,,
improvement_subrecords_parking,Improvement_parking,,
improvement_subrecords_parkingadequacy,Improvement_parkingadequacy,,
improvement_subrecords_parkingcomments,Improvement_parkingcomments,,
improvement_subrecords_parkingcondition,Improvement_parkingcondition,,
improvement_subrecords_parkingtype,Improvement_parkingtype,,
improvement_subrecords_porchordeck,Improvement_porchordeck,,
improvement_subrecords_proportionrenovated,Improvement_proportionrenovated,,
improvement_subrecords_quality,Improvement_quality,,
improvement_subrecords_ratotalmeters,Improvement_ratotalmeters,,
improvement_subrecords_remainingeconomiclife,Improvement_remainingeconomiclife,,
improvement_subrecords_renovations,Improvement_renovations,,
improvement_subrecords_residentialamenities,Improvement_residentialamenities,,
improvement_subrecords_residentialdesign,Improvement_residentialdesign,,
improvement_subrecords_roofcover,Improvement_roofcover,,
improvement_subrecords_rooftype,Improvement_rooftype,,
improvement_subrecords_sourceforsfarea,Improvement_sourceforsfarea,,
improvement_subrecords_sprinklers,Improvement_sprinklers,,
improvement_subrecords_surfaceparkingspaces,Improvement_surfaceparkingspaces,,
improvement_subrecords_tenantimprovements,Improvement_tenantimprovements,,
improvement_subrecords_totaleconomiclife,Improvement_totaleconomiclife,,
improvement_subrecords_typicalbaydepth,Improvement_typicalbaydepth,,
improvement_subrecords_usablearea,Improvement_usablearea,,
improvement_subrecords_yearbuilt,Improvement_yearbuilt,,
improvement_value,,,
improvement_value_per_sf,,,
income_growth,Sales_incomegrowth,,
income_growth_rate,Sales_incomegrowthrate,,
income_target_percent,Unit Lease_incometarget,,
incometarget,,,
industrial_gba,,,
industrial_ra,,,
ingestion_timestamp,,,
instance_type,Rent Roll Summary_instancetype,,
internal_comments,Sales_internalcomments,,
is_active,,,
is_confidential,Rent Roll Summary_confidential,,
is_deleted,Sales_isdeleted,,
is_excel_entry,,,
is_ground_lease,Parcel_isgroundlease,,
is_lihtc,,,
isexcel,Sales_isexcel,,
jurisdiction,,,
land_assessment,Assessment_landassessment,,
land_hectares,Sites_landhectares,,
land_sf,,,
land_square_meters,Sites_landsquaremeters,,
land_unit_approved_or_zoned,Sites_landunitapprovedorzoned,,
land_unit_type,Sites_landunittype,,
land_units,Sites_landunits,,
land_use,Sites_landuse,,
land_value,Sales_landvalue,,
land_value_per_sf,,,
last_rent_increase,Unit Lease_lastrentincrease,,
lat,Parcel_lat,,
lat_centroid,,,
lease_commencement_date,,,
lease_comp_id,,,
lease_concessions,,,
lease_conditions,Rent Roll_leaseconditions,,
lease_expiration_date,Unit Lease_leaseexpiration,,
lease_options,,,
lease_start_date,Rent Roll_leasestartdate,,
lease_tenant_improvs,Rent Roll_leasetenantimprovs,,
lease_term_months,,,
lease_transaction_type,Rent Roll_leasetransactiontype,,
lease_type,Rent Roll_leasetype,,
leasedate,Rent Roll_leasedate,,
leaseexpiration,,,
leaseexpiredate,Rent Roll_leaseexpiredate,,
leasestart,Unit Lease_leasestart,,
leaseterm,Rent Roll_leaseterm,,
legal_description,Sales_legaldescription,,
lender,Sales_lender,,
lender_name,,,
lessor,Rent Roll_lessor,,
lessor_name,,,
lh_occupancy,Improvement_lhoccupancy,,
lhtc,Unit Lease_lhtc,,
lightbox_created_by,,,
lightbox_id,,,
lightbox_timestamp,,,
lng,Parcel_lng,,
lng_centroid,,,
locationdescription,Parcel_locationdescription,,
major_type,,,
management_company,Unit Lease Summary_managementcompany,,
market,Parcel_market,,
market_rent_max,Unit Lease_marketrentmax,,
market_rent_min,Unit Lease_marketrentmin,,
market_rent_per_mo,Unit Lease_marketrentmo,,
market_rent_per_sf,,,
marketrentmo,Unit Lease_marketrentsf,,
marketrentsf,,,
max_build_height,,,
max_gross_lihtc_restricted_rent,Unit Lease_MaxGrossLIHTCRestrictedRent,,
max_site_coverage,,,
median_hh_income,,,
median_home_value,Sites_medianhomevalue,,
median_household_income,Sites_medianhouseholdincome,,
merge_timestamp,Parcel_timestamp,,
merged_by_user_or_system,,,
mf_br_max,Unit Lease Summary_mfbrmax,,
mf_br_min,Unit Lease Summary_mfbrmin,,
mf_carport_fee_monthly,Unit Lease Summary_mfcarportfeemonthly,,
mf_garage_fee_monthly,Unit Lease Summary_mfgaragefeemonthly,,
mf_lease_comments,Unit Lease Summary_mfleasecomments,,
mf_lease_notes,Unit Lease Summary_mfleasenotes,,
mf_lease_survey_date,Unit Lease Summary_mfleasesurveydate,,
mf_occupancy,Unit Lease Summary_mfoccupancy,,
mf_rent_concessions,Unit Lease Summary_mfrentconcessions,,
mf_rent_per_mo_max,Unit Lease Summary_mfrentpermomax,,
mf_rent_per_mo_min,Unit Lease Summary_mfrentpermomin,,
mf_rent_per_sf_max,,,
mf_rent_per_sf_min,,,
mf_rent_per_sf_per_mo_max,Unit Lease Summary_mfrentpersfpermomax,,
mf_rent_per_sf_per_mo_min,Unit Lease Summary_mfrentpersfpermomin,,
mf_rent_type,Unit Lease Summary_mfrenttype,,
mf_size_sf_max,,,
mf_size_sf_min,,,
mf_source_notes,Unit Lease Summary_MFSourceNotes,,
mf_surveyed_unit_count_total,Unit Lease Summary_mfsurveyedunitcounttotal,,
mf_total_annual_rent,Unit Lease Summary_mftotalannualrent,,
mf_total_rent_per_month,Unit Lease Summary_mftotalrentpermonth,,
mf_unit_amenities,Unit Lease Summary_mfamenities,,
mf_vacant_units_count,Unit Lease Summary_mfvacantunitscount,,
mf_weighted_avg_rent_per_sf_per_mo,Unit Lease Summary_mfweightedavgrentpersfpermo,,
mf_weighted_avg_rent_per_sf_per_year,Unit Lease Summary_mfweightedavgrentpersfperyear,,
mf_weighted_avg_rent_per_unit,Unit Lease Summary_mfweightedavgrentperunit,,
mfamenities,,,
min_lot_area,,,
minimum_lot_area,,,
monthly_or_daily_rent,Unit Lease_monthlyordailyrent,,
msa,Parcel_msa,,
multifamily_gba,,,
municipality,Parcel_municipality,,
name,Parcel_name,,
neighborhood,Parcel_neighborhood,,
neighborhoodcomments,Parcel_neighborhoodcomments,,
net_income_multiplier,,,
net_rentable_area,,,
new_value,,,
nim,Sales_nim,,
no_of_baths,,,
no_of_buildings,,,
no_of_craneways,,,
no_of_docks,,,
no_of_mf_bathrooms,Improvement_noofmfbathrooms,,
no_of_multifamily_bedrooms,Improvement_noofmultifamilybedrooms,,
no_of_multifamily_rooms,Improvement_noofmultifamilyrooms,,
no_of_tenants,Sales_tosnumberoftenants,,
north_boundary,Parcel_northboundary,,
notes,,,
number_of_parcels,Sites_NumberOfParcels,,
number_of_units,,,
occupancy_type,Unit Lease_occupancytype,,
office_gba,,,
office_ra,,,
old_value,,,
opportunity_zone,Parcel_opportunityzone,,
options,Rent Roll_options,,
ordinance_document,,,
ordinance_document_url,,,
original_list_price,Sales_originallistprice,,
original_lp_percent_diff,Sales_originallppercentdiff,,
other_acres,Sites_otheracres,,
other_adjustment,Sales_otheradjustment,,
other_assessment,Assessment_otherassessment,,
other_db_refs,Parcel_otherdbrefs,,
other_gba,,,
other_ra,,,
owner,Parcel_owner,,
parcel_comments,incExp_comments,,
parcel_id,Rent Roll_id,,
parcel_verification_data,Sales_verificationdate,,
parent_geo_id,,,
parking_adequacy_id,,,
parking_condition_id,,,
parking_ratio_gba,,,
parking_ratio_ra,,,
parking_ratio_unit,Improvement_parkingratiounit,,
parking_requirement,,,
parking_type_id,,,
per_pupil_spending,,,
percent_diminution_in_value,Sales_percentdiminutioninvalue,,
percent_office_ul,Rent Roll_percentofficeul,,
percent_rent,Rent Roll_percentrent,,
percent_stigma,Sales_percentstigma,,
percent_tillable,Sites_percenttillable,,
percent_wetlands,Sites_percentwetlands,,
perimeter,Improvement_perimeter,,
perimeter_sf,,,
permitted_uses,,,
pgim,Sales_pgim,,
population,,,
potential_gross_income_multiplier,,,
price,Sales_price,,
price_adjustment,Sales_priceadjustment,,
price_per_acre,Sales_priceperacre,,
price_per_bay,Sales_priceperbay,,
price_per_bed,Sales_priceperbed,,
price_per_bedroom,Sales_priceperbedroom,,
price_per_buildable_sf,Sales_priceperbuildablesf,,
price_per_far,Sales_priceperfar,,
price_per_gba_meters,,,
price_per_land_hectares,Sales_priceperlandhectares,,
price_per_land_sf,,,
price_per_land_sqm,Sales_priceperlandsqm,,
price_per_land_unit,Sales_priceperlandunit,,
price_per_mf_bedroom,Sales_pricepermfbedroom,,
price_per_mf_room,Sales_pricepermfroom,,
price_per_primary_frontage,Sales_priceperprimaryfrontage,,
price_per_ra,,,
price_per_ra_meters,,,
price_per_room,Sales_priceperroom,,
price_per_sf,,,
price_per_space,Sales_priceperspace,,
price_per_unit,Sales_priceperunit,,
price_per_usable_acre,Sales_priceperusableacre,,
price_per_usable_land_sf,Sales_priceperusablelandsf,,
priceactual,Sales_priceactual,,
primary_frontage_lf,Sites_primaryfrontagelf,,
primary_frontage_st,Sites_primaryfrontagest,,
product_segment,Improvement_productsegment,,
productivity_index,Sites_productivityindex,,
project_amenities,Unit Lease Summary_projectamenities,,
project_id,,,
project_name,,,
project_property_id,,,
project_style,Unit Lease Summary_projectstyle,,
property_assessment_id,,,
property_id,,,
property_included,Sales_propertyincluded,,
property_rights,Sales_propertyrights,,
property_type,Parcel_propertytype,,
property_type_id,Parcel_propertysubtype,,
property_zoning_id,,,
propertymajortype,Parcel_propertymajortype,,
propertysubtype,,,
proposed_sf,,,
proposed_units,Sites_proposedunits,,
proposed_use,Sales_proposeduse,,
quality_id,,,
ra_total,,,
rail_service,Sites_railservice,,
ready_for_use,Parcel_readyforuse,,
rear_yard_distance,,,
recording_date,Sales_recordingdate,,
renovations_description,,,
rent_basis,Rent Roll_rentbasis,,
rent_comp_id,,,
rent_escalations,Rent Roll Summary_escalations,,
rent_increase_percent,Unit Lease_rentincreasepercent,,
rent_last_increased,Rent Roll_rentincreased,,
rent_per_mo,Unit Lease_rentpermo,,
rent_per_sf_per_mo,,,
rent_per_sf_per_mo_max,Rent Roll Summary_rentpersfpermomax,,
rent_per_sf_per_mo_min,Rent Roll Summary_rentpersfpermomin,,
rent_per_sq_meter,,,
rent_per_sq_meter_per_mo,,,
rent_roll_summary_commleasenotes,Rent Roll Summary_CommLeaseNotes,,
rentable_area,,,
rentincreased,,,
rentperm2,Rent Roll_rentperm2,,
rentperm2permo,Rent Roll_rentperm2permo,,
responsible_party,Sales_responsibleparty,,
retail_gba,,,
retail_gla,,,
rev_par,Improvement_revpar,,
risk_profile,Sales_riskprofile,,
road_frontage,Sites_roadfrontage,,
roof_cover_id,,,
roof_type_id,,,
rooms,Unit Lease_rooms,,
sale_comments,Sales_salecomments,,
sale_comp_id,,,
sale_date,Sales_saledate,,
sale_notes,Sales_salenotes,,
sale_price,,,
sale_supporting_files,Sales_salesupportingfiles,,
school_district_id,Parcel_schooldistrict,,
schooldistrict,,,
secondary_frontage_lf,Sites_secondaryfrontagelf,,
secondary_frontage_st,Sites_secondaryfrontagest,,
secondary_traffic_count,Sites_secondarytrafficcount,,
session_end,,,
session_start,,,
setback_distance,,,
sf_leased,,,
sf_size_max,,,
sf_size_min,,,
shadow_anchors,Rent Roll Summary_shadowanchors,,
shalcommunityfee,Unit Lease Summary_shalcommunityfee,,
shalentryfee,Unit Lease Summary_shalentryfee,,
shaloccupancypercentage,Unit Lease Summary_shaloccupancypercentage,,
shalsecondpersonfeemonthly,Unit Lease Summary_shalsecondpersonfeemonthly,,
shalunitcount,Unit Lease Summary_shalunitcount,,
shape,Sites_shape,,
shcaretypecomments,,,
shilcommunityfee,Unit Lease Summary_shilcommunityfee,,
shilentryfee,Unit Lease Summary_shilentryfee,,
shilunitcount,Unit Lease Summary_shilunitcount,,
shmccommunityfee,Unit Lease Summary_shmccommunityfee,,
shmcentryfee,Unit Lease Summary_shmcentryfee,,
shmcoccupancypercentage,Unit Lease Summary_shmcoccupancypercentage,,
shmcsecondpersonfeemonthly,Unit Lease Summary_shmcsecondpersonfeemonthly,,
shmcunitcount,Unit Lease Summary_shmcunitcount,,
shothercommunityfee,Unit Lease Summary_shothercommunityfee,,
shotherentryfee,Unit Lease Summary_shotherentryfee,,
shotheroccupancypercentage,Unit Lease Summary_shotheroccupancypercentage,,
shothersecondpersonfeemonthly,Unit Lease Summary_shothersecondpersonfeemonthly,,
shotherunitcount,Unit Lease Summary_shotherunitcount,,
shpayormedicaidpercentage,Unit Lease Summary_shpayormedicaidpercentage,,
shpayormedicarepercentage,Unit Lease Summary_SHPayorMedicarePercentage,,
shpayorotherpercentage,Unit Lease Summary_shpayorotherpercentage,,
shpayorprivatepaypercentage,Unit Lease Summary_shpayorprivatepaypercentage,,
shpayorvapercentage,Unit Lease Summary_shpayorvapercentage,,
shsncommunityfee,Unit Lease Summary_shsncommunityfee,,
shsnentryfee,Unit Lease Summary_shsnentryfee,,
shsnoccupancypercentage,Unit Lease Summary_shsnoccupancypercentage,,
shsnsecondpersonfeemonthly,Unit Lease Summary_shsnsecondpersonfeemonthly,,
shsnunitcount,Unit Lease Summary_shsnunitcount,,
side_yard_distance,,,
site_acres,Sites_wasteacres,,
site_area_id,,,
site_comments,Sites_sitecomments,,
site_dimensions,,,
site_drainage,,,
site_id,,,
site_landscaping,,,
site_topography,Sites_topography,,
site_utilities,,,
site_views,,,
site_visibility,Sites_visibility,,
size_sq_meters,,,
sizem2,Rent Roll_sizem2,,
soil_type,Sites_soiltype,,
source_system,,,
south_boundary,Parcel_southboundary,,
space_finish,,,
special_assessments,Assessment_specialassessments,,
sprinkler_type,,,
sprinklers_id,,,
square_feet,,,
state,Parcel_state,,
status,,,
storage_fee,Unit Lease Summary_storagefee,,
student_teacher_ratio,Parcel_studentteacherratio,,
sub_type,,,
submarket,Parcel_submarket,,
suite,Rent Roll_suite,,
suite_number,,,
supporting_files,Parcel_supportingfiles,,
tax_id,Assessment_taxid,,
tax_rate,Assessment_taxrate,,
taxing_authority,Assessment_taxingauthority,,
tenant,Rent Roll Summary_tenant,,
tenant_cam,incExp_cam,,
tenant_name,Rent Roll_tenantcam,,
tenant_parking,Rent Roll_tenantparking,,
tenant_profile,Unit Lease_tenantprofile,,
terminal_cap_rate,Sales_terminalcaprate,,
tertiary_frontage_lf,Sites_tertiaryfrontagelf,,
tertiary_frontage_st,Sites_tertiaryfrontagest,,
tertiary_traffic_count,Sites_tertiarytrafficcount,,
tillable_acres,Sites_tillableacres,,
time_log_id,,,
timestamp,,,
topography,,,
tos_cap_rate,,,
tos_effective_age,Sales_toseffectiveage,,
tos_egim,Sales_tosegim,,
tos_noi,Sales_tosnoi,,
tos_number_of_tenants,,,
tos_occupancy_rate,Sales_tosoccupancyrate,,
tos_price_per_rsf,Sales_tospriceperrsf,,
tos_price_per_useable_acre_land,Sales_tospriceperuseableacreland,,
tos_price_per_useable_sf_land,Sales_tospriceperuseablesfland,,
tos_tenancy_type,Sales_tostenancytype,,
tos_vacancy_rate,Sales_tosvacancyrate,,
tos_weighted_avg_lease_term,Sales_tosweightedaverageleaseterm,,
tosweightedaverageleaseterm,,,
total_assessment,Assessment_totalassessment,,
total_market_rent,Unit Lease Summary_totalmarketrent,,
total_taxes,,,
townshiprange,Parcel_townshiprange,,
traffic_count,Sites_trafficcount,,
traffic_survey_date,Sites_trafficsurveydate,,
transaction_type,Sales_transactiontype,,
type_of_contamination,Sales_typeofcontamination,,
type_or_use_of_space,Rent Roll_typeoruseofspace,,
unit_category,,,
unit_count,Unit Lease_unitcount,,
unit_depth_ft,Unit Lease_unitdepth,,
unit_floor,,,
unit_height_ft,Unit Lease_unitheight,,
unit_mix_id,,,
unit_sf,,,
unit_type,Unit Lease_unittype,,
unit_width_ft,Unit Lease_unitwidth,,
unitdepth,,,
unitheight,,,
unitwidth,,,
updated_at,,,
updated_by_user_id,,,
use_mix_id,,,
use_type,,,
user_id,,,
utilities,incExp_totalutilities,,
utilities_paid_by_owner,Unit Lease Summary_UtilitiesPaidByOwner,,
utility_allowance,Unit Lease_utilityallowance,,
vacancy_rate,Unit Lease Summary_vacancyrate,,
vacant_units,Unit Lease_vacantunits,,
verification_date,Rent Roll_verificationdate,,
verification_phone,Sales_verificationphone,,
verification_source,Rent Roll_verificationsource,,
views,Sites_views,,
visibility,,,
waste_acres,,,
water_frontage,Sites_waterfrontage,,
west_boundary,Parcel_westboundary,,
wetland_acres,Sites_wetlandacres,,
wetlands_type,Sites_wetlandstype,,
within_flood_plain,Sites_withinfloodplainname,,
withinfloodplainname,,,
woodland_acres,Sites_woodlandacres,,
year_built_numeric,Improvement_yearbuiltnumeric,,
zip,Parcel_zip,,
zoned_density,,,
zoning,,,
zoning_authority,,,
zoning_code,,,
zoning_designation,,,
zoning_district,,,
zoning_id,,,
zoning_jurisdiction,,,
zoning_notes,,,
zoning_subrecords_comments,,,
zoning_subrecords_district,,,
zoning_subrecords_summary,,,
zoning_subrecords_type,,,
